ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045936	BP	GO:0045936	negative regulation of phosphate metabolic process	18/225	491/20973	6.41802799952854e-06	0.00109158858012072	0.000916925757058411	ENSG00000005249/ENSG00000035720/ENSG00000106991/ENSG00000114166/ENSG00000115956/ENSG00000130203/ENSG00000130208/ENSG00000131981/ENSG00000137642/ENSG00000138080/ENSG00000145335/ENSG00000150593/ENSG00000153721/ENSG00000154127/ENSG00000155792/ENSG00000158856/ENSG00000168734/ENSG00000186951	18
GO:0010563	BP	GO:0010563	negative regulation of phosphorus metabolic process	18/225	492/20973	6.59906874121964e-06	0.00109158858012072	0.000916925757058411	ENSG00000005249/ENSG00000035720/ENSG00000106991/ENSG00000114166/ENSG00000115956/ENSG00000130203/ENSG00000130208/ENSG00000131981/ENSG00000137642/ENSG00000138080/ENSG00000145335/ENSG00000150593/ENSG00000153721/ENSG00000154127/ENSG00000155792/ENSG00000158856/ENSG00000168734/ENSG00000186951	18
GO:0051261	BP	GO:0051261	protein depolymerization	9/225	122/20973	6.84810903463436e-06	0.00109158858012072	0.000916925757058411	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000115956/ENSG00000133816/ENSG00000136842/ENSG00000148700/ENSG00000158856/ENSG00000163554	9
GO:0032956	BP	GO:0032956	regulation of actin cytoskeleton organization	15/225	379/20973	1.5904846234027e-05	0.00199240685569719	0.00167360597005007	ENSG00000035720/ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000136842/ENSG00000140416/ENSG00000141376/ENSG00000148700/ENSG00000158856/ENSG00000163554/ENSG00000168421/ENSG00000170873/ENSG00000171132	15
GO:1902903	BP	GO:1902903	regulation of supramolecular fiber organization	16/225	427/20973	1.62492403538667e-05	0.00199240685569719	0.00167360597005007	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000130203/ENSG00000136842/ENSG00000138080/ENSG00000140416/ENSG00000145335/ENSG00000148700/ENSG00000158856/ENSG00000163554/ENSG00000168477/ENSG00000170873/ENSG00000171132	16
GO:0042060	BP	GO:0042060	wound healing	17/225	489/20973	2.3024871656072e-05	0.00253693716069411	0.00213100711114238	ENSG00000035403/ENSG00000058866/ENSG00000110080/ENSG00000111186/ENSG00000115956/ENSG00000130203/ENSG00000132205/ENSG00000138722/ENSG00000140416/ENSG00000154127/ENSG00000158856/ENSG00000169398/ENSG00000169704/ENSG00000171132/ENSG00000174059/ENSG00000186951/ENSG00000203618	17
GO:0050817	BP	GO:0050817	coagulation	12/225	257/20973	2.30775337704295e-05	0.00253693716069411	0.00213100711114238	ENSG00000035403/ENSG00000058866/ENSG00000110080/ENSG00000115956/ENSG00000130203/ENSG00000132205/ENSG00000138722/ENSG00000154127/ENSG00000158856/ENSG00000169704/ENSG00000174059/ENSG00000203618	12
GO:0007599	BP	GO:0007599	hemostasis	12/225	259/20973	2.49078819386484e-05	0.0025614944393681	0.00215163503062552	ENSG00000035403/ENSG00000058866/ENSG00000110080/ENSG00000115956/ENSG00000130203/ENSG00000132205/ENSG00000138722/ENSG00000154127/ENSG00000158856/ENSG00000169704/ENSG00000174059/ENSG00000203618	12
GO:0020027	BP	GO:0020027	hemoglobin metabolic process	4/225	17/20973	2.75064254141241e-05	0.00265728740061296	0.00223210035896433	ENSG00000147454/ENSG00000158578/ENSG00000166947/ENSG00000169877	4
GO:0010676	BP	GO:0010676	positive regulation of cellular carbohydrate metabolic process	6/225	56/20973	2.95910176308293e-05	0.00277459306491423	0.00233063618739411	ENSG00000095637/ENSG00000114166/ENSG00000145335/ENSG00000150907/ENSG00000171132/ENSG00000186951	6
GO:0051651	BP	GO:0051651	maintenance of location in cell	11/225	226/20973	3.4717478720881e-05	0.00299133303140996	0.00251269604170473	ENSG00000123191/ENSG00000130203/ENSG00000131018/ENSG00000137642/ENSG00000145335/ENSG00000154127/ENSG00000169704/ENSG00000171132/ENSG00000186815/ENSG00000198838/ENSG00000203618	11
GO:0055072	BP	GO:0055072	iron ion homeostasis	7/225	86/20973	3.90094535695446e-05	0.00323801236158808	0.00271990472425546	ENSG00000106327/ENSG00000112077/ENSG00000115657/ENSG00000138449/ENSG00000147454/ENSG00000158578/ENSG00000166947	7
GO:0042692	BP	GO:0042692	muscle cell differentiation	15/225	412/20973	4.16989233886565e-05	0.00323801236158808	0.00271990472425546	ENSG00000047597/ENSG00000072110/ENSG00000106991/ENSG00000111186/ENSG00000115183/ENSG00000115641/ENSG00000131018/ENSG00000136842/ENSG00000140416/ENSG00000150593/ENSG00000154639/ENSG00000157404/ENSG00000160789/ENSG00000186951/ENSG00000197993	15
GO:0043113	BP	GO:0043113	receptor clustering	6/225	60/20973	4.402769866656e-05	0.00323801236158808	0.00271990472425546	ENSG00000005844/ENSG00000033122/ENSG00000104219/ENSG00000130203/ENSG00000160255/ENSG00000206561	6
GO:0030218	BP	GO:0030218	erythrocyte differentiation	9/225	154/20973	4.41944841785949e-05	0.00323801236158808	0.00271990472425546	ENSG00000105610/ENSG00000112077/ENSG00000157404/ENSG00000158578/ENSG00000158856/ENSG00000166947/ENSG00000169877/ENSG00000179588/ENSG00000185650	9
GO:0002262	BP	GO:0002262	myeloid cell homeostasis	10/225	192/20973	4.46902584409899e-05	0.00323801236158808	0.00271990472425546	ENSG00000105610/ENSG00000112077/ENSG00000153094/ENSG00000157404/ENSG00000158578/ENSG00000158856/ENSG00000166947/ENSG00000169877/ENSG00000179588/ENSG00000185650	10
GO:0010810	BP	GO:0010810	regulation of cell-substrate adhesion	11/225	234/20973	4.76465369921764e-05	0.00337549244291241	0.00283538690311338	ENSG00000035403/ENSG00000073849/ENSG00000079691/ENSG00000111846/ENSG00000138080/ENSG00000141376/ENSG00000158856/ENSG00000162946/ENSG00000169398/ENSG00000171132/ENSG00000184371	11
GO:0048041	BP	GO:0048041	focal adhesion assembly	7/225	90/20973	5.23126475034409e-05	0.00353226379068769	0.00296707359291735	ENSG00000035403/ENSG00000072110/ENSG00000085733/ENSG00000095637/ENSG00000141376/ENSG00000158856/ENSG00000169398	7
GO:0032970	BP	GO:0032970	regulation of actin filament-based process	15/225	422/20973	5.47136691155673e-05	0.00355973830898834	0.00299015197056935	ENSG00000035720/ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000136842/ENSG00000140416/ENSG00000141376/ENSG00000148700/ENSG00000158856/ENSG00000163554/ENSG00000168421/ENSG00000170873/ENSG00000171132	15
GO:0043393	BP	GO:0043393	regulation of protein binding	10/225	212/20973	0.000102293934910472	0.00603913082397379	0.00507282203532633	ENSG00000075340/ENSG00000110888/ENSG00000130203/ENSG00000137642/ENSG00000148737/ENSG00000154127/ENSG00000162946/ENSG00000163554/ENSG00000179588/ENSG00000186951	10
GO:0051208	BP	GO:0051208	sequestering of calcium ion	8/225	135/20973	0.000106730716207732	0.00617824575265396	0.00518967747300788	ENSG00000123191/ENSG00000145335/ENSG00000154127/ENSG00000169704/ENSG00000171132/ENSG00000186815/ENSG00000198838/ENSG00000203618	8
GO:0051494	BP	GO:0051494	negative regulation of cytoskeleton organization	9/225	174/20973	0.000113395892920829	0.00630591806180049	0.00529692120095769	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000114166/ENSG00000136842/ENSG00000145335/ENSG00000148700/ENSG00000158856/ENSG00000163554	9
GO:0034755	BP	GO:0034755	iron ion transmembrane transport	4/225	25/20973	0.000136673921986298	0.00704129246138856	0.0059146298691714	ENSG00000114770/ENSG00000115657/ENSG00000138449/ENSG00000147454	4
GO:0043255	BP	GO:0043255	regulation of carbohydrate biosynthetic process	7/225	105/20973	0.000139147247511756	0.00704129246138856	0.0059146298691714	ENSG00000095637/ENSG00000114166/ENSG00000115956/ENSG00000116678/ENSG00000145335/ENSG00000150907/ENSG00000186951	7
GO:0150115	BP	GO:0150115	cell-substrate junction organization	7/225	105/20973	0.000139147247511756	0.00704129246138856	0.0059146298691714	ENSG00000035403/ENSG00000072110/ENSG00000085733/ENSG00000095637/ENSG00000141376/ENSG00000158856/ENSG00000169398	7
GO:0061041	BP	GO:0061041	regulation of wound healing	8/225	145/20973	0.000175116013116299	0.00858876692022711	0.00721449615170632	ENSG00000110080/ENSG00000130203/ENSG00000138722/ENSG00000154127/ENSG00000158856/ENSG00000169398/ENSG00000171132/ENSG00000174059	8
GO:0001933	BP	GO:0001933	negative regulation of protein phosphorylation	13/225	369/20973	0.000187715199110238	0.00869567398278897	0.00730429723707823	ENSG00000005249/ENSG00000106991/ENSG00000114166/ENSG00000130203/ENSG00000137642/ENSG00000138080/ENSG00000145335/ENSG00000150593/ENSG00000153721/ENSG00000154127/ENSG00000155792/ENSG00000158856/ENSG00000168734	13
GO:0034109	BP	GO:0034109	homotypic cell-cell adhesion	7/225	112/20973	0.000207910610333136	0.00946884322488626	0.00795375327349622	ENSG00000035403/ENSG00000115956/ENSG00000132205/ENSG00000138722/ENSG00000154127/ENSG00000154639/ENSG00000158856	7
GO:0006898	BP	GO:0006898	receptor-mediated endocytosis	11/225	282/20973	0.000247160845536529	0.0109437329940341	0.00919264899188495	ENSG00000085733/ENSG00000106327/ENSG00000130203/ENSG00000130208/ENSG00000135047/ENSG00000137642/ENSG00000142798/ENSG00000145335/ENSG00000160255/ENSG00000179241/ENSG00000197081	11
GO:0019755	BP	GO:0019755	one-carbon compound transport	3/225	13/20973	0.000321839684474902	0.0133830428284529	0.0112416499225993	ENSG00000104267/ENSG00000112077/ENSG00000141469	3
GO:0033700	BP	GO:0033700	phospholipid efflux	3/225	13/20973	0.000321839684474902	0.0133830428284529	0.0112416499225993	ENSG00000064687/ENSG00000130203/ENSG00000130208	3
GO:0042744	BP	GO:0042744	hydrogen peroxide catabolic process	4/225	31/20973	0.000323241624150211	0.0133830428284529	0.0112416499225993	ENSG00000145335/ENSG00000188536/ENSG00000196565/ENSG00000206172	4
GO:0050900	BP	GO:0050900	leukocyte migration	14/225	445/20973	0.000340532367103111	0.0139181690554451	0.0116911517126898	ENSG00000005844/ENSG00000035720/ENSG00000075340/ENSG00000110080/ENSG00000131981/ENSG00000138080/ENSG00000144668/ENSG00000154639/ENSG00000157404/ENSG00000160255/ENSG00000168421/ENSG00000169398/ENSG00000174059/ENSG00000184371	14
GO:0045834	BP	GO:0045834	positive regulation of lipid metabolic process	8/225	162/20973	0.000371740064835699	0.0148138415837026	0.0124435095387108	ENSG00000011198/ENSG00000095637/ENSG00000130203/ENSG00000130208/ENSG00000157404/ENSG00000169398/ENSG00000171132/ENSG00000186951	8
GO:0010960	BP	GO:0010960	magnesium ion homeostasis	3/225	14/20973	0.000406378111258683	0.0159942397369467	0.0134350346334255	ENSG00000047597/ENSG00000148842/ENSG00000197993	3
GO:0010763	BP	GO:0010763	positive regulation of fibroblast migration	3/225	15/20973	0.000503961595629015	0.0186817391495965	0.0156925128430871	ENSG00000158856/ENSG00000169398/ENSG00000171132	3
GO:0048536	BP	GO:0048536	spleen development	4/225	35/20973	0.000520147740247326	0.0189055918439404	0.0158805473324257	ENSG00000138449/ENSG00000153094/ENSG00000166947/ENSG00000185630	4
GO:0062012	BP	GO:0062012	regulation of small molecule metabolic process	12/225	359/20973	0.000528841814488581	0.0189055918439404	0.0158805473324257	ENSG00000095637/ENSG00000100003/ENSG00000114166/ENSG00000115956/ENSG00000116678/ENSG00000130203/ENSG00000130208/ENSG00000145335/ENSG00000150907/ENSG00000157404/ENSG00000171132/ENSG00000186951	12
GO:0006826	BP	GO:0006826	iron ion transport	5/225	62/20973	0.000534945589592897	0.0189055918439404	0.0158805473324257	ENSG00000106327/ENSG00000114770/ENSG00000115657/ENSG00000138449/ENSG00000147454	5
GO:0060998	BP	GO:0060998	regulation of dendritic spine development	5/225	62/20973	0.000534945589592897	0.0189055918439404	0.0158805473324257	ENSG00000110888/ENSG00000130203/ENSG00000153317/ENSG00000162946/ENSG00000170921	5
GO:0097581	BP	GO:0097581	lamellipodium organization	6/225	95/20973	0.000559929434988242	0.0193461337397741	0.0162505990338722	ENSG00000035403/ENSG00000079691/ENSG00000085733/ENSG00000099204/ENSG00000157404/ENSG00000158856	6
GO:0051258	BP	GO:0051258	protein polymerization	11/225	311/20973	0.000564363374466433	0.0193461337397741	0.0162505990338722	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000085733/ENSG00000136842/ENSG00000145335/ENSG00000148700/ENSG00000158856/ENSG00000163554/ENSG00000164877/ENSG00000171132	11
GO:0099173	BP	GO:0099173	postsynapse organization	8/225	179/20973	0.000719536588907313	0.0229388264543651	0.0192684324440021	ENSG00000072110/ENSG00000085733/ENSG00000104219/ENSG00000110888/ENSG00000115183/ENSG00000130203/ENSG00000170921/ENSG00000206561	8
GO:0030193	BP	GO:0030193	regulation of blood coagulation	5/225	67/20973	0.000764531049552062	0.0241319305541779	0.0202706304331469	ENSG00000110080/ENSG00000130203/ENSG00000154127/ENSG00000158856/ENSG00000174059	5
GO:0097067	BP	GO:0097067	cellular response to thyroid hormone stimulus	3/225	18/20973	0.000882588283468989	0.0270547254586455	0.0227257549913472	ENSG00000135047/ENSG00000151090/ENSG00000157404	3
GO:0030100	BP	GO:0030100	regulation of endocytosis	9/225	232/20973	0.000934515461842812	0.0281059933241027	0.0236088116676079	ENSG00000035720/ENSG00000049759/ENSG00000064687/ENSG00000106327/ENSG00000130203/ENSG00000130208/ENSG00000131981/ENSG00000140022/ENSG00000145335	9
GO:0050818	BP	GO:0050818	regulation of coagulation	5/225	72/20973	0.00106071408326885	0.0307414227041916	0.0258225514625449	ENSG00000110080/ENSG00000130203/ENSG00000154127/ENSG00000158856/ENSG00000174059	5
GO:0043409	BP	GO:0043409	negative regulation of MAPK cascade	8/225	191/20973	0.00109521695070351	0.0311745682039533	0.0261863902499034	ENSG00000064687/ENSG00000085276/ENSG00000130203/ENSG00000137642/ENSG00000138080/ENSG00000150593/ENSG00000150907/ENSG00000153721	8
GO:1901653	BP	GO:1901653	cellular response to peptide	12/225	392/20973	0.00113461784153933	0.0320102803436053	0.026888381824649	ENSG00000095637/ENSG00000104267/ENSG00000105610/ENSG00000109458/ENSG00000112576/ENSG00000114166/ENSG00000137642/ENSG00000143627/ENSG00000150907/ENSG00000153094/ENSG00000169398/ENSG00000185650	12
GO:0033157	BP	GO:0033157	regulation of intracellular protein transport	9/225	239/20973	0.00115061548356666	0.0321768610667588	0.0270283083120367	ENSG00000039068/ENSG00000104219/ENSG00000137642/ENSG00000141376/ENSG00000148737/ENSG00000158856/ENSG00000160255/ENSG00000164877/ENSG00000168734	9
GO:0043373	BP	GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	3/225	20/20973	0.00121367669400348	0.0336452286998531	0.0282617254878249	ENSG00000135047/ENSG00000179588/ENSG00000198846	3
GO:0030032	BP	GO:0030032	lamellipodium assembly	5/225	76/20973	0.00135299891898841	0.0365539029977547	0.0307049888484078	ENSG00000035403/ENSG00000079691/ENSG00000099204/ENSG00000157404/ENSG00000158856	5
GO:0097062	BP	GO:0097062	dendritic spine maintenance	3/225	21/20973	0.00140480987621141	0.0373211157113498	0.0313494414480862	ENSG00000085733/ENSG00000115183/ENSG00000130203	3
GO:0034110	BP	GO:0034110	regulation of homotypic cell-cell adhesion	4/225	46/20973	0.00147855011726242	0.0389555187920048	0.0327223270840852	ENSG00000132205/ENSG00000138722/ENSG00000154127/ENSG00000158856	4
GO:0032963	BP	GO:0032963	collagen metabolic process	6/225	115/20973	0.00151880576862058	0.0396881376259214	0.0333377210989712	ENSG00000101439/ENSG00000106991/ENSG00000135047/ENSG00000138080/ENSG00000156140/ENSG00000168477	6
GO:0048246	BP	GO:0048246	macrophage chemotaxis	4/225	47/20973	0.00160265218915526	0.0411589668923715	0.0345732060272711	ENSG00000035720/ENSG00000131981/ENSG00000169398/ENSG00000184371	4
GO:0006638	BP	GO:0006638	neutral lipid metabolic process	7/225	159/20973	0.00167640746241135	0.0424157697632333	0.035628910479319	ENSG00000011198/ENSG00000058866/ENSG00000130203/ENSG00000130208/ENSG00000137642/ENSG00000145335/ENSG00000168477	7
GO:0001570	BP	GO:0001570	vasculogenesis	5/225	80/20973	0.00170079031670984	0.0426938545643384	0.0358624995085772	ENSG00000061273/ENSG00000106991/ENSG00000169946/ENSG00000174059/ENSG00000185650	5
GO:1905521	BP	GO:1905521	regulation of macrophage migration	4/225	48/20973	0.00173381575875924	0.0431828487415972	0.036273250742463	ENSG00000035720/ENSG00000138080/ENSG00000169398/ENSG00000184371	4
GO:0072593	BP	GO:0072593	reactive oxygen species metabolic process	9/225	255/20973	0.00179797652145056	0.0440024700396618	0.0369617261377863	ENSG00000107957/ENSG00000145335/ENSG00000150907/ENSG00000160255/ENSG00000186951/ENSG00000187134/ENSG00000188536/ENSG00000196565/ENSG00000206172	9
GO:0007229	BP	GO:0007229	integrin-mediated signaling pathway	6/225	119/20973	0.00180813161078911	0.0440024700396618	0.0369617261377863	ENSG00000005844/ENSG00000115956/ENSG00000144668/ENSG00000158856/ENSG00000160255/ENSG00000169398	6
GO:0015748	BP	GO:0015748	organophosphate ester transport	7/225	162/20973	0.00186473631295861	0.0450362073160003	0.0378300572581076	ENSG00000064687/ENSG00000114770/ENSG00000130203/ENSG00000130208/ENSG00000154217/ENSG00000171488/ENSG00000186314	7
GO:0014706	BP	GO:0014706	striated muscle tissue development	9/225	260/20973	0.00205128034317462	0.0478254029056159	0.0401729594505338	ENSG00000106991/ENSG00000115641/ENSG00000138795/ENSG00000140416/ENSG00000154639/ENSG00000160789/ENSG00000169946/ENSG00000179588/ENSG00000186951	9
GO:0006911	BP	GO:0006911	phagocytosis, engulfment	6/225	123/20973	0.00213744082576596	0.0493779808155209	0.0414771125915225	ENSG00000035720/ENSG00000064687/ENSG00000160255/ENSG00000163219/ENSG00000165322/ENSG00000168421	6
GO:0042641	CC	GO:0042641	actomyosin	9/233	80/21993	1.73863559263876e-07	5.56363389644404e-05	4.42894540440611e-05	ENSG00000072110/ENSG00000095637/ENSG00000099204/ENSG00000100592/ENSG00000114166/ENSG00000133026/ENSG00000140416/ENSG00000164877/ENSG00000169398	9
GO:0005938	CC	GO:0005938	cell cortex	15/233	323/21993	2.02540285084203e-06	0.000148940026237732	0.000118564099833984	ENSG00000039068/ENSG00000070182/ENSG00000072110/ENSG00000085733/ENSG00000116117/ENSG00000133026/ENSG00000136842/ENSG00000145335/ENSG00000148700/ENSG00000158856/ENSG00000163554/ENSG00000166947/ENSG00000168421/ENSG00000169398/ENSG00000176658	15
GO:0005833	CC	GO:0005833	hemoglobin complex	4/233	12/21993	5.68504510445825e-06	0.000303202405571107	0.000241365072855947	ENSG00000169877/ENSG00000188536/ENSG00000196565/ENSG00000206172	4
GO:0009925	CC	GO:0009925	basal plasma membrane	13/233	276/21993	8.46044661552657e-06	0.000386763273852643	0.000307883921948486	ENSG00000029534/ENSG00000033122/ENSG00000114770/ENSG00000116678/ENSG00000119888/ENSG00000123191/ENSG00000138449/ENSG00000141469/ENSG00000144668/ENSG00000148842/ENSG00000154639/ENSG00000174059/ENSG00000176658	13
GO:0045178	CC	GO:0045178	basal part of cell	13/233	294/21993	1.65629790860294e-05	0.000662519163441176	0.000527400123528831	ENSG00000029534/ENSG00000033122/ENSG00000114770/ENSG00000116678/ENSG00000119888/ENSG00000123191/ENSG00000138449/ENSG00000141469/ENSG00000144668/ENSG00000148842/ENSG00000154639/ENSG00000174059/ENSG00000176658	13
GO:0030863	CC	GO:0030863	cortical cytoskeleton	8/233	119/21993	4.02015493379224e-05	0.00142938842090391	0.00113786841400903	ENSG00000039068/ENSG00000070182/ENSG00000072110/ENSG00000085733/ENSG00000136842/ENSG00000158856/ENSG00000163554/ENSG00000166947	8
GO:0098636	CC	GO:0098636	protein complex involved in cell adhesion	5/233	43/21993	8.86316810089271e-05	0.00257837617480515	0.0020525231391541	ENSG00000005844/ENSG00000138080/ENSG00000138722/ENSG00000144668/ENSG00000160255	5
GO:0071682	CC	GO:0071682	endocytic vesicle lumen	4/233	25/21993	0.000130375178474028	0.00347667142597408	0.002767613437782	ENSG00000130203/ENSG00000135047/ENSG00000188536/ENSG00000206172	4
GO:0031838	CC	GO:0031838	haptoglobin-hemoglobin complex	3/233	11/21993	0.000181899320519752	0.00447752173587081	0.00356434296079189	ENSG00000188536/ENSG00000196565/ENSG00000206172	3
GO:0030016	CC	GO:0030016	myofibril	10/233	241/21993	0.000263161969140063	0.00601513072320144	0.00478836064149588	ENSG00000029534/ENSG00000035403/ENSG00000072110/ENSG00000114166/ENSG00000115641/ENSG00000131018/ENSG00000136842/ENSG00000140416/ENSG00000198336/ENSG00000198838	10
GO:0008305	CC	GO:0008305	integrin complex	4/233	31/21993	0.000308529080463125	0.00658195371654666	0.0052395815769878	ENSG00000005844/ENSG00000138080/ENSG00000144668/ENSG00000160255	4
GO:0031235	CC	GO:0031235	intrinsic component of the cytoplasmic side of the plasma membrane	3/233	15/21993	0.000486118516654267	0.00864210696274253	0.00687957199007793	ENSG00000070182/ENSG00000163554/ENSG00000170873	3
GO:0031252	CC	GO:0031252	cell leading edge	13/233	452/21993	0.00112815674101506	0.0171909598630866	0.0136849088383781	ENSG00000039068/ENSG00000064687/ENSG00000065989/ENSG00000072110/ENSG00000079691/ENSG00000085733/ENSG00000099204/ENSG00000115956/ENSG00000133026/ENSG00000140416/ENSG00000141376/ENSG00000170873/ENSG00000176658	13
GO:0062023	CC	GO:0062023	collagen-containing extracellular matrix	13/233	459/21993	0.00129478740998732	0.0188332714179973	0.0149922752735374	ENSG00000065320/ENSG00000111186/ENSG00000130203/ENSG00000131981/ENSG00000132205/ENSG00000135047/ENSG00000138080/ENSG00000138722/ENSG00000142798/ENSG00000156140/ENSG00000164946/ENSG00000168477/ENSG00000206561	13
GO:0005884	CC	GO:0005884	actin filament	6/233	128/21993	0.00245736925766852	0.0327649234355803	0.0260826035243764	ENSG00000072110/ENSG00000079691/ENSG00000085733/ENSG00000136842/ENSG00000140416/ENSG00000158856	6
GO:0031985	CC	GO:0031985	Golgi cisterna	6/233	142/21993	0.00410430330544302	0.0486435947311765	0.0387228615952129	ENSG00000073849/ENSG00000110080/ENSG00000137642/ENSG00000175048/ENSG00000175164/ENSG00000198964	6
GO:0003779	MF	GO:0003779	actin binding	24/232	472/20738	7.35812117718445e-10	4.01017604156552e-07	3.46993503934593e-07	ENSG00000035403/ENSG00000070182/ENSG00000072110/ENSG00000075340/ENSG00000085733/ENSG00000095637/ENSG00000099204/ENSG00000100592/ENSG00000131018/ENSG00000133026/ENSG00000133816/ENSG00000136842/ENSG00000140416/ENSG00000142347/ENSG00000145335/ENSG00000148700/ENSG00000158856/ENSG00000163554/ENSG00000164877/ENSG00000169398/ENSG00000170873/ENSG00000171132/ENSG00000176658/ENSG00000198336	24
GO:0031720	MF	GO:0031720	haptoglobin binding	3/232	10/20738	0.000156503806001122	0.0284315247568705	0.0246013000310536	ENSG00000188536/ENSG00000196565/ENSG00000206172	3
GO:0005200	MF	GO:0005200	structural constituent of cytoskeleton	7/232	118/20738	0.00036886123631652	0.035756814993829	0.0309397452771326	ENSG00000029534/ENSG00000070182/ENSG00000075340/ENSG00000140416/ENSG00000148700/ENSG00000163554/ENSG00000166947	7
GO:0005543	MF	GO:0005543	phospholipid binding	15/232	485/20738	0.000392855449914852	0.035756814993829	0.0309397452771326	ENSG00000035720/ENSG00000072134/ENSG00000100003/ENSG00000107957/ENSG00000116117/ENSG00000130203/ENSG00000130208/ENSG00000141376/ENSG00000145335/ENSG00000145819/ENSG00000153317/ENSG00000154217/ENSG00000157985/ENSG00000170873/ENSG00000186815	15
GO:0005344	MF	GO:0005344	oxygen carrier activity	3/232	14/20738	0.000459261843957436	0.035756814993829	0.0309397452771326	ENSG00000188536/ENSG00000196565/ENSG00000206172	3
GO:0045295	MF	GO:0045295	gamma-catenin binding	3/232	14/20738	0.000459261843957436	0.035756814993829	0.0309397452771326	ENSG00000039068/ENSG00000138795/ENSG00000148737	3
