ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034109	BP	GO:0034109	homotypic cell-cell adhesion	12/247	112/20973	8.50583996948481e-09	1.73978690175719e-06	1.46064688965203e-06	ENSG00000010278/ENSG00000035403/ENSG00000088053/ENSG00000115956/ENSG00000138722/ENSG00000154127/ENSG00000154229/ENSG00000158856/ENSG00000185245/ENSG00000185532/ENSG00000259207/ENSG00000271503	12
GO:0034110	BP	GO:0034110	regulation of homotypic cell-cell adhesion	8/247	46/20973	5.85938722048601e-08	9.19044885533231e-06	7.71588780297685e-06	ENSG00000010278/ENSG00000088053/ENSG00000138722/ENSG00000154127/ENSG00000154229/ENSG00000158856/ENSG00000185532/ENSG00000271503	8
GO:0030193	BP	GO:0030193	regulation of blood coagulation	9/247	67/20973	8.88862170436997e-08	1.32779077555279e-05	1.11475345886384e-05	ENSG00000010278/ENSG00000137801/ENSG00000154127/ENSG00000158856/ENSG00000173083/ENSG00000181104/ENSG00000184500/ENSG00000185245/ENSG00000185532	9
GO:0061041	BP	GO:0061041	regulation of wound healing	12/247	145/20973	1.5448173402755e-07	2.10699652019315e-05	1.76893958140472e-05	ENSG00000010278/ENSG00000065534/ENSG00000137801/ENSG00000138722/ENSG00000154127/ENSG00000158856/ENSG00000169398/ENSG00000173083/ENSG00000181104/ENSG00000184500/ENSG00000185245/ENSG00000185532	12
GO:0050818	BP	GO:0050818	regulation of coagulation	9/247	72/20973	1.68114133584844e-07	2.19739182106524e-05	1.84483141328632e-05	ENSG00000010278/ENSG00000137801/ENSG00000154127/ENSG00000158856/ENSG00000173083/ENSG00000181104/ENSG00000184500/ENSG00000185245/ENSG00000185532	9
GO:0110053	BP	GO:0110053	regulation of actin filament organization	16/247	295/20973	4.74118717544505e-07	5.72042468052736e-05	4.80261146273827e-05	ENSG00000047648/ENSG00000061676/ENSG00000070182/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000132970/ENSG00000140416/ENSG00000146376/ENSG00000148180/ENSG00000148700/ENSG00000149564/ENSG00000158856/ENSG00000164741/ENSG00000170873/ENSG00000197321	16
GO:0018212	BP	GO:0018212	peptidyl-tyrosine modification	19/247	416/20973	5.54998329257757e-07	6.44825836622808e-05	5.41366791346162e-05	ENSG00000010671/ENSG00000064393/ENSG00000074966/ENSG00000087589/ENSG00000102468/ENSG00000105329/ENSG00000110395/ENSG00000128294/ENSG00000131370/ENSG00000138798/ENSG00000145431/ENSG00000149177/ENSG00000153064/ENSG00000154237/ENSG00000158856/ENSG00000169398/ENSG00000259207/ENSG00000261371/ENSG00000271503	19
GO:0014068	BP	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	9/247	91/20973	1.27487221749247e-06	0.000138866822697401	0.000116586343099809	ENSG00000110395/ENSG00000112033/ENSG00000126264/ENSG00000138798/ENSG00000145431/ENSG00000169398/ENSG00000174175/ENSG00000181104/ENSG00000271503	9
GO:0051893	BP	GO:0051893	regulation of focal adhesion assembly	8/247	68/20973	1.32802189382277e-06	0.000138866822697401	0.000116586343099809	ENSG00000035403/ENSG00000047648/ENSG00000137801/ENSG00000149177/ENSG00000157227/ENSG00000158856/ENSG00000164741/ENSG00000169398	8
GO:0090109	BP	GO:0090109	regulation of cell-substrate junction assembly	8/247	68/20973	1.32802189382277e-06	0.000138866822697401	0.000116586343099809	ENSG00000035403/ENSG00000047648/ENSG00000137801/ENSG00000149177/ENSG00000157227/ENSG00000158856/ENSG00000164741/ENSG00000169398	8
GO:0150116	BP	GO:0150116	regulation of cell-substrate junction organization	8/247	73/20973	2.29573522091281e-06	0.000218233981454651	0.000183219442511128	ENSG00000035403/ENSG00000047648/ENSG00000137801/ENSG00000149177/ENSG00000157227/ENSG00000158856/ENSG00000164741/ENSG00000169398	8
GO:0010810	BP	GO:0010810	regulation of cell-substrate adhesion	13/247	234/20973	4.41761806495619e-06	0.000374542374858583	0.000314448944481377	ENSG00000035403/ENSG00000047648/ENSG00000079691/ENSG00000087589/ENSG00000116962/ENSG00000137801/ENSG00000138080/ENSG00000149177/ENSG00000157227/ENSG00000158856/ENSG00000162946/ENSG00000164741/ENSG00000169398	13
GO:0051258	BP	GO:0051258	protein polymerization	15/247	311/20973	4.62011881191995e-06	0.000381402966131391	0.000320208788571294	ENSG00000047648/ENSG00000061676/ENSG00000070182/ENSG00000079691/ENSG00000085733/ENSG00000132970/ENSG00000146376/ENSG00000148180/ENSG00000148700/ENSG00000149564/ENSG00000152229/ENSG00000158856/ENSG00000164877/ENSG00000175063/ENSG00000197321	15
GO:0070493	BP	GO:0070493	thrombin-activated receptor signaling pathway	4/247	12/20973	8.62888835109437e-06	0.000628660210554674	0.000527794858248006	ENSG00000115956/ENSG00000127533/ENSG00000181104/ENSG00000185245	4
GO:0003018	BP	GO:0003018	vascular process in circulatory system	14/247	288/20973	8.8176758891953e-06	0.000628660210554674	0.000527794858248006	ENSG00000059804/ENSG00000070214/ENSG00000102468/ENSG00000105329/ENSG00000108405/ENSG00000108846/ENSG00000112033/ENSG00000117298/ENSG00000121064/ENSG00000149177/ENSG00000172572/ENSG00000174233/ENSG00000181104/ENSG00000185532	14
GO:0019932	BP	GO:0019932	second-messenger-mediated signaling	15/247	330/20973	9.41299336827697e-06	0.000641337684960899	0.000538438295982474	ENSG00000010671/ENSG00000061918/ENSG00000072952/ENSG00000115641/ENSG00000115956/ENSG00000137801/ENSG00000138735/ENSG00000141068/ENSG00000149177/ENSG00000158856/ENSG00000167100/ENSG00000172572/ENSG00000174175/ENSG00000185532/ENSG00000213658	15
GO:0033627	BP	GO:0033627	cell adhesion mediated by integrin	8/247	88/20973	9.43214048305104e-06	0.000641337684960899	0.000538438295982474	ENSG00000005844/ENSG00000082781/ENSG00000091409/ENSG00000138722/ENSG00000164171/ENSG00000169398/ENSG00000259207/ENSG00000271503	8
GO:0006939	BP	GO:0006939	smooth muscle contraction	9/247	116/20973	9.60882090951936e-06	0.000641337684960899	0.000538438295982474	ENSG00000050628/ENSG00000065534/ENSG00000085733/ENSG00000102468/ENSG00000108405/ENSG00000164171/ENSG00000181072/ENSG00000181104/ENSG00000185532	9
GO:0010712	BP	GO:0010712	regulation of collagen metabolic process	6/247	44/20973	1.21849266489979e-05	0.000749492448978555	0.000629240174938961	ENSG00000101439/ENSG00000105329/ENSG00000112033/ENSG00000138080/ENSG00000164171/ENSG00000181104	6
GO:1902903	BP	GO:1902903	regulation of supramolecular fiber organization	17/247	427/20973	1.36112803658746e-05	0.000821126663610549	0.000689381042012514	ENSG00000047648/ENSG00000061676/ENSG00000070182/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000132970/ENSG00000138080/ENSG00000140416/ENSG00000146376/ENSG00000148180/ENSG00000148700/ENSG00000149564/ENSG00000158856/ENSG00000164741/ENSG00000170873/ENSG00000197321	17
GO:1905521	BP	GO:1905521	regulation of macrophage migration	6/247	48/20973	2.03654258085482e-05	0.00112081299581431	0.000940984217414361	ENSG00000010278/ENSG00000137801/ENSG00000138080/ENSG00000157227/ENSG00000169398/ENSG00000271503	6
GO:0050900	BP	GO:0050900	leukocyte migration	17/247	445/20973	2.30634933163165e-05	0.00120989932476529	0.0010157770953015	ENSG00000005844/ENSG00000010278/ENSG00000081041/ENSG00000091409/ENSG00000137801/ENSG00000138080/ENSG00000157227/ENSG00000158869/ENSG00000163734/ENSG00000163736/ENSG00000163737/ENSG00000164171/ENSG00000169224/ENSG00000169398/ENSG00000174175/ENSG00000261371/ENSG00000271503	17
GO:0010763	BP	GO:0010763	positive regulation of fibroblast migration	4/247	15/20973	2.3141204809027e-05	0.00120989932476529	0.0010157770953015	ENSG00000105329/ENSG00000137801/ENSG00000158856/ENSG00000169398	4
GO:0032535	BP	GO:0032535	regulation of cellular component size	15/247	376/20973	4.29827604016359e-05	0.00204298362696866	0.00171519723325188	ENSG00000047597/ENSG00000061676/ENSG00000070182/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000146376/ENSG00000148180/ENSG00000148700/ENSG00000149564/ENSG00000158856/ENSG00000162946/ENSG00000176697/ENSG00000197321/ENSG00000221866	15
GO:0032970	BP	GO:0032970	regulation of actin filament-based process	16/247	422/20973	4.39992811951093e-05	0.00206008574789639	0.00172955540534428	ENSG00000047648/ENSG00000061676/ENSG00000070182/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000132970/ENSG00000140416/ENSG00000146376/ENSG00000148180/ENSG00000148700/ENSG00000149564/ENSG00000158856/ENSG00000164741/ENSG00000170873/ENSG00000197321	16
GO:0048771	BP	GO:0048771	tissue remodeling	10/247	178/20973	5.1672234225589e-05	0.00234921447486482	0.00197229488989205	ENSG00000101439/ENSG00000105329/ENSG00000107798/ENSG00000135926/ENSG00000154127/ENSG00000154229/ENSG00000154237/ENSG00000157227/ENSG00000181104/ENSG00000259207	10
GO:0045216	BP	GO:0045216	cell-cell junction organization	11/247	223/20973	7.15293091111336e-05	0.00307380058467981	0.00258062482186094	ENSG00000010278/ENSG00000035403/ENSG00000105329/ENSG00000140859/ENSG00000149564/ENSG00000150054/ENSG00000154229/ENSG00000164877/ENSG00000170873/ENSG00000181104/ENSG00000261371	11
GO:0048660	BP	GO:0048660	regulation of smooth muscle cell proliferation	10/247	188/20973	8.17068155898131e-05	0.00336251774216309	0.00282301877116657	ENSG00000105329/ENSG00000112033/ENSG00000124762/ENSG00000137801/ENSG00000140416/ENSG00000160013/ENSG00000164171/ENSG00000178607/ENSG00000185532/ENSG00000271503	10
GO:0048659	BP	GO:0048659	smooth muscle cell proliferation	10/247	191/20973	9.31924876058181e-05	0.00370056751417027	0.00310683016641915	ENSG00000105329/ENSG00000112033/ENSG00000124762/ENSG00000137801/ENSG00000140416/ENSG00000160013/ENSG00000164171/ENSG00000178607/ENSG00000185532/ENSG00000271503	10
GO:1901879	BP	GO:1901879	regulation of protein depolymerization	7/247	91/20973	0.000100764213566695	0.00395121672448402	0.00331726397820882	ENSG00000070182/ENSG00000079691/ENSG00000115956/ENSG00000148180/ENSG00000148700/ENSG00000158856/ENSG00000197321	7
GO:0006940	BP	GO:0006940	regulation of smooth muscle contraction	6/247	66/20973	0.000126373569554054	0.00483455960598861	0.00405887896051659	ENSG00000085733/ENSG00000108405/ENSG00000164171/ENSG00000181072/ENSG00000181104/ENSG00000185532	6
GO:0002576	BP	GO:0002576	platelet degranulation	3/247	10/20973	0.00018216199729632	0.00628148571058059	0.00527365308721797	ENSG00000108405/ENSG00000115956/ENSG00000158856	3
GO:0032964	BP	GO:0032964	collagen biosynthetic process	5/247	48/20973	0.000246452448176316	0.00780930636292024	0.00655634264047999	ENSG00000105329/ENSG00000112033/ENSG00000138080/ENSG00000164171/ENSG00000181104	5
GO:0032496	BP	GO:0032496	response to lipopolysaccharide	14/247	399/20973	0.000292647876895717	0.00900035676295945	0.00755629502572842	ENSG00000081041/ENSG00000100368/ENSG00000105329/ENSG00000112033/ENSG00000129226/ENSG00000154229/ENSG00000160013/ENSG00000163734/ENSG00000163736/ENSG00000163737/ENSG00000174175/ENSG00000181104/ENSG00000198730/ENSG00000271503	14
GO:0010761	BP	GO:0010761	fibroblast migration	5/247	50/20973	0.000299179090933504	0.00902284307194064	0.00757517352012331	ENSG00000105329/ENSG00000107438/ENSG00000137801/ENSG00000158856/ENSG00000169398	5
GO:0071621	BP	GO:0071621	granulocyte chemotaxis	8/247	143/20973	0.000299545903665762	0.00902284307194064	0.00757517352012331	ENSG00000081041/ENSG00000137801/ENSG00000158869/ENSG00000163734/ENSG00000163736/ENSG00000163737/ENSG00000169398/ENSG00000271503	8
GO:0032271	BP	GO:0032271	regulation of protein polymerization	10/247	223/20973	0.00032759333275183	0.00927490002271756	0.00778678920753631	ENSG00000061676/ENSG00000070182/ENSG00000079691/ENSG00000085733/ENSG00000146376/ENSG00000148180/ENSG00000148700/ENSG00000149564/ENSG00000158856/ENSG00000197321	10
GO:0060312	BP	GO:0060312	regulation of blood vessel remodeling	3/247	12/20973	0.000328184221396764	0.00927490002271756	0.00778678920753631	ENSG00000101439/ENSG00000105329/ENSG00000135926	3
GO:1903054	BP	GO:1903054	negative regulation of extracellular matrix organization	3/247	13/20973	0.000422934870240432	0.0116381288416161	0.00977084991081774	ENSG00000101439/ENSG00000105329/ENSG00000138080	3
GO:0032963	BP	GO:0032963	collagen metabolic process	7/247	115/20973	0.000429712604524967	0.0116994045889561	0.00982229427430441	ENSG00000101439/ENSG00000105329/ENSG00000112033/ENSG00000138080/ENSG00000157227/ENSG00000164171/ENSG00000181104	7
GO:0035296	BP	GO:0035296	regulation of tube diameter	8/247	152/20973	0.00045133495265013	0.0119986249700293	0.0100735062580787	ENSG00000102468/ENSG00000108405/ENSG00000112033/ENSG00000117298/ENSG00000121064/ENSG00000174233/ENSG00000181104/ENSG00000185532	8
GO:0097746	BP	GO:0097746	blood vessel diameter maintenance	8/247	152/20973	0.00045133495265013	0.0119986249700293	0.0100735062580787	ENSG00000102468/ENSG00000108405/ENSG00000112033/ENSG00000117298/ENSG00000121064/ENSG00000174233/ENSG00000181104/ENSG00000185532	8
GO:0001933	BP	GO:0001933	negative regulation of protein phosphorylation	13/247	369/20973	0.00046159637533998	0.0121683010877439	0.0102159587005805	ENSG00000005249/ENSG00000105329/ENSG00000110395/ENSG00000124762/ENSG00000129355/ENSG00000131370/ENSG00000138080/ENSG00000144677/ENSG00000149177/ENSG00000154127/ENSG00000154237/ENSG00000158856/ENSG00000186834	13
GO:0098884	BP	GO:0098884	postsynaptic neurotransmitter receptor internalization	3/247	14/20973	0.000533609348635605	0.0133894154778733	0.0112411514607113	ENSG00000079482/ENSG00000197959/ENSG00000259207	3
GO:0140239	BP	GO:0140239	postsynaptic endocytosis	3/247	14/20973	0.000533609348635605	0.0133894154778733	0.0112411514607113	ENSG00000079482/ENSG00000197959/ENSG00000259207	3
GO:0006898	BP	GO:0006898	receptor-mediated endocytosis	11/247	282/20973	0.000544509586844917	0.0134498155427756	0.01129186064058	ENSG00000010278/ENSG00000079482/ENSG00000085733/ENSG00000110395/ENSG00000137942/ENSG00000138798/ENSG00000142798/ENSG00000144868/ENSG00000158869/ENSG00000197959/ENSG00000259207	11
GO:0051261	BP	GO:0051261	protein depolymerization	7/247	122/20973	0.00061291365930882	0.014904729839161	0.0125133412940895	ENSG00000070182/ENSG00000079691/ENSG00000115956/ENSG00000148180/ENSG00000148700/ENSG00000158856/ENSG00000197321	7
GO:0006909	BP	GO:0006909	phagocytosis	12/247	333/20973	0.000622886040175029	0.0150307192925313	0.0126191163766633	ENSG00000005844/ENSG00000110934/ENSG00000137801/ENSG00000138772/ENSG00000148180/ENSG00000149177/ENSG00000158869/ENSG00000163219/ENSG00000164171/ENSG00000169398/ENSG00000259207/ENSG00000261371	12
GO:0045662	BP	GO:0045662	negative regulation of myoblast differentiation	4/247	34/20973	0.000659546193590143	0.0155959937478638	0.0130936954036391	ENSG00000105329/ENSG00000112033/ENSG00000139174/ENSG00000166091	4
GO:0097553	BP	GO:0097553	calcium ion transmembrane import into cytosol	8/247	163/20973	0.000716030706773969	0.0165160906408084	0.013866167402078	ENSG00000102468/ENSG00000108405/ENSG00000127533/ENSG00000154127/ENSG00000169704/ENSG00000181104/ENSG00000185245/ENSG00000203618	8
GO:0034103	BP	GO:0034103	regulation of tissue remodeling	6/247	91/20973	0.000726179376809998	0.0166279175551311	0.0139600522533893	ENSG00000101439/ENSG00000105329/ENSG00000135926/ENSG00000154127/ENSG00000154229/ENSG00000259207	6
GO:0002431	BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	4/247	35/20973	0.000737820558430665	0.0167720513898333	0.0140810605430475	ENSG00000149177/ENSG00000150637/ENSG00000158869/ENSG00000169398	4
GO:0060191	BP	GO:0060191	regulation of lipase activity	6/247	92/20973	0.000769309415536482	0.017238025975271	0.0144722718621976	ENSG00000047648/ENSG00000048052/ENSG00000074966/ENSG00000102468/ENSG00000140479/ENSG00000271503	6
GO:0008360	BP	GO:0008360	regulation of cell shape	8/247	167/20973	0.000838697943803674	0.0183985695784065	0.0154466121118645	ENSG00000132970/ENSG00000140416/ENSG00000146376/ENSG00000157654/ENSG00000158856/ENSG00000164741/ENSG00000169398/ENSG00000221866	8
GO:0097581	BP	GO:0097581	lamellipodium organization	6/247	95/20973	0.00091065132202236	0.0196315992992738	0.0164818084481596	ENSG00000035403/ENSG00000061676/ENSG00000079691/ENSG00000085733/ENSG00000132970/ENSG00000158856	6
GO:0045651	BP	GO:0045651	positive regulation of macrophage differentiation	3/247	17/20973	0.00097115290358818	0.0201755407851399	0.0169384772727614	ENSG00000105329/ENSG00000154229/ENSG00000163737	3
GO:0072376	BP	GO:0072376	protein activation cascade	3/247	17/20973	0.00097115290358818	0.0201755407851399	0.0169384772727614	ENSG00000169704/ENSG00000185245/ENSG00000203618	3
GO:0090136	BP	GO:0090136	epithelial cell-cell adhesion	3/247	17/20973	0.00097115290358818	0.0201755407851399	0.0169384772727614	ENSG00000035403/ENSG00000082781/ENSG00000140859	3
GO:0051235	BP	GO:0051235	maintenance of location	12/247	351/20973	0.000983873617281126	0.0203053390619138	0.017047450072281	ENSG00000049323/ENSG00000102468/ENSG00000112033/ENSG00000127533/ENSG00000148180/ENSG00000154127/ENSG00000155158/ENSG00000169704/ENSG00000181104/ENSG00000185245/ENSG00000203618/ENSG00000259207	12
GO:0071216	BP	GO:0071216	cellular response to biotic stimulus	11/247	306/20973	0.00106256135404416	0.0216445127768606	0.0181717601354647	ENSG00000010671/ENSG00000081041/ENSG00000105329/ENSG00000112033/ENSG00000129226/ENSG00000154229/ENSG00000163734/ENSG00000163736/ENSG00000163737/ENSG00000198730/ENSG00000271503	11
GO:0051494	BP	GO:0051494	negative regulation of cytoskeleton organization	8/247	174/20973	0.00109359914536078	0.0219911571730561	0.0184627871909087	ENSG00000047648/ENSG00000070182/ENSG00000079691/ENSG00000148180/ENSG00000148700/ENSG00000158856/ENSG00000164741/ENSG00000197321	8
GO:0045576	BP	GO:0045576	mast cell activation	5/247	67/20973	0.00115965547539323	0.0229384622353222	0.0192581019454645	ENSG00000010671/ENSG00000043462/ENSG00000110395/ENSG00000150637/ENSG00000213658	5
GO:0010595	BP	GO:0010595	positive regulation of endothelial cell migration	7/247	138/20973	0.00126545720896447	0.0245045633612442	0.0205729300638669	ENSG00000048052/ENSG00000105329/ENSG00000137801/ENSG00000138772/ENSG00000138798/ENSG00000154229/ENSG00000259207	7
GO:0042326	BP	GO:0042326	negative regulation of phosphorylation	13/247	413/20973	0.00129770884494553	0.0248226380889887	0.0208399713097158	ENSG00000005249/ENSG00000105329/ENSG00000110395/ENSG00000124762/ENSG00000129355/ENSG00000131370/ENSG00000138080/ENSG00000144677/ENSG00000149177/ENSG00000154127/ENSG00000154237/ENSG00000158856/ENSG00000186834	13
GO:0010759	BP	GO:0010759	positive regulation of macrophage chemotaxis	3/247	19/20973	0.00136003799859741	0.0253954714380956	0.0213208964441774	ENSG00000137801/ENSG00000169398/ENSG00000271503	3
GO:0014909	BP	GO:0014909	smooth muscle cell migration	6/247	103/20973	0.00138599497872226	0.0257270192204244	0.0215992490611217	ENSG00000112033/ENSG00000140416/ENSG00000164171/ENSG00000185532/ENSG00000259207/ENSG00000271503	6
GO:0043954	BP	GO:0043954	cellular component maintenance	5/247	71/20973	0.00150505007274015	0.0274496632452666	0.0230455035617862	ENSG00000079482/ENSG00000085733/ENSG00000140859/ENSG00000170873/ENSG00000181104	5
GO:1905475	BP	GO:1905475	regulation of protein localization to membrane	8/247	188/20973	0.00178776357487817	0.031684826747982	0.0266011564932809	ENSG00000105329/ENSG00000135926/ENSG00000148175/ENSG00000148180/ENSG00000157227/ENSG00000158856/ENSG00000162852/ENSG00000179399	8
GO:0060415	BP	GO:0060415	muscle tissue morphogenesis	5/247	74/20973	0.00180980398083905	0.0317855724386711	0.0266857380472644	ENSG00000065534/ENSG00000105329/ENSG00000140416/ENSG00000169946/ENSG00000179588	5
GO:0097320	BP	GO:0097320	plasma membrane tubulation	3/247	21/20973	0.00183457787994432	0.0317855724386711	0.0266857380472644	ENSG00000110934/ENSG00000137942/ENSG00000168497	3
GO:0030032	BP	GO:0030032	lamellipodium assembly	5/247	76/20973	0.00203660485405484	0.0345342131198381	0.0289933732281378	ENSG00000035403/ENSG00000061676/ENSG00000079691/ENSG00000132970/ENSG00000158856	5
GO:0034446	BP	GO:0034446	substrate adhesion-dependent cell spreading	6/247	113/20973	0.0022224419988454	0.0368878335998837	0.030969367201956	ENSG00000079691/ENSG00000087589/ENSG00000158856/ENSG00000164877/ENSG00000169398/ENSG00000259207	6
GO:2001237	BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	6/247	113/20973	0.0022224419988454	0.0368878335998837	0.030969367201956	ENSG00000085733/ENSG00000091409/ENSG00000135926/ENSG00000137801/ENSG00000160789/ENSG00000163737	6
GO:0055074	BP	GO:0055074	calcium ion homeostasis	14/247	496/20973	0.00236379094993679	0.0387697595088038	0.0325493476137198	ENSG00000047597/ENSG00000050628/ENSG00000102468/ENSG00000108405/ENSG00000127533/ENSG00000137672/ENSG00000154127/ENSG00000160013/ENSG00000162946/ENSG00000169704/ENSG00000181104/ENSG00000185245/ENSG00000203618/ENSG00000271503	14
GO:0010640	BP	GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway	3/247	23/20973	0.00240087217911953	0.0390235027248599	0.0327623790136737	ENSG00000110395/ENSG00000149177/ENSG00000160013	3
GO:0008217	BP	GO:0008217	regulation of blood pressure	8/247	198/20973	0.00246824229504619	0.039504469793673	0.0331661773480428	ENSG00000072657/ENSG00000095303/ENSG00000099337/ENSG00000108405/ENSG00000117298/ENSG00000121064/ENSG00000140416/ENSG00000181104	8
GO:0150105	BP	GO:0150105	protein localization to cell-cell junction	3/247	24/20973	0.00272017754397674	0.0424537161962938	0.0356422320766159	ENSG00000035403/ENSG00000150054/ENSG00000261371	3
